('abodes' ,'abo' ,'des' )(2 words)
('cabled' ,'cab' ,'led' )(2 words)
('callan' ,'call' ,'an' )(2 words)
('called' ,'call' ,'ed' )(2 words)
('callus' ,'call' ,'us' )(2 words)
('calmed' ,'calm' ,'ed' )(2 words)
('camden' ,'cam' ,'den' )(2 words)
('camera' ,'cam' ,'era' )(2 words)
('camped' ,'camp' ,'ed' )(2 words)
('camper' ,'cam' ,'per' )(2 words)
('campus' ,'cam' ,'pus' )(2 words)
('campus' ,'camp' ,'us' )(2 words)
('canada' ,'can' ,'ada' )(2 words)
('candid' ,'can' ,'did' )(2 words)
('canned' ,'can' ,'ned' )(2 words)
('cannon' ,'can' ,'non' )(2 words)
('cannot' ,'can' ,'not' )(2 words)
('canton' ,'can' ,'ton' )(2 words)
('canton' ,'cant' ,'on' )(2 words)
('cantor' ,'cant' ,'or' )(2 words)
('canyon' ,'can' ,'yon' )(2 words)
('careen' ,'care' ,'en' )(2 words)
('carlin' ,'car' ,'lin' )(2 words)
('carlin' ,'carl' ,'in' )(2 words)
('carmen' ,'car' ,'men' )(2 words)
('carpet' ,'car' ,'pet' )(2 words)
('carpet' ,'carp' ,'et' )(2 words)
('carrot' ,'car' ,'rot' )(2 words)
('carson' ,'car' ,'son' )(2 words)
('carson' ,'cars' ,'on' )(2 words)
('carted' ,'car' ,'ted' )(2 words)
('carted' ,'cart' ,'ed' )(2 words)
('carton' ,'car' ,'ton' )(2 words)
('carton' ,'cart' ,'on' )(2 words)
('cashed' ,'cash' ,'ed' )(2 words)
('casket' ,'cask' ,'et' )(2 words)
('castor' ,'cast' ,'or' )(2 words)
('catnip' ,'cat' ,'nip' )(2 words)
('catsup' ,'cats' ,'up' )(2 words)
('caveat' ,'cave' ,'at' )(2 words)
('celled' ,'cell' ,'ed' )(2 words)
('charon' ,'char' ,'on' )(2 words)
('chewed' ,'chew' ,'ed' )(2 words)
('chinas' ,'chin' ,'as' )(2 words)
('chopin' ,'chop' ,'in' )(2 words)
('clamor' ,'clam' ,'or' )(2 words)
('clawed' ,'claw' ,'ed' )(2 words)
('clothe' ,'clot' ,'he' )(2 words)
('coated' ,'coat' ,'ed' )(2 words)
('coaxed' ,'coax' ,'ed' )(2 words)
('cocked' ,'cock' ,'ed' )(2 words)
('cocoon' ,'coco' ,'on' )(2 words)
('coiled' ,'coil' ,'ed' )(2 words)
('coined' ,'coin' ,'ed' )(2 words)
('combat' ,'comb' ,'at' )(2 words)
('combed' ,'comb' ,'ed' )(2 words)
('conant' ,'con' ,'ant' )(2 words)
('convex' ,'con' ,'vex' )(2 words)
('conway' ,'con' ,'way' )(2 words)
('cooked' ,'cook' ,'ed' )(2 words)
('cooled' ,'coo' ,'led' )(2 words)
('cooled' ,'cool' ,'ed' )(2 words)
('coolie' ,'coo' ,'lie' )(2 words)
('cooped' ,'coop' ,'ed' )(2 words)
('cooper' ,'coo' ,'per' )(2 words)
('copper' ,'cop' ,'per' )(2 words)
('corded' ,'cord' ,'ed' )(2 words)
('corked' ,'cork' ,'ed' )(2 words)
('cornet' ,'corn' ,'et' )(2 words)
('costed' ,'cost' ,'ed' )(2 words)
('cotton' ,'cot' ,'ton' )(2 words)
('cowboy' ,'cow' ,'boy' )(2 words)
('crayon' ,'cray' ,'on' )(2 words)
('crewed' ,'crew' ,'ed' )(2 words)
('crowed' ,'crow' ,'ed' )(2 words)
('culled' ,'cull' ,'ed' )(2 words)
('curled' ,'curl' ,'ed' )(2 words)
('cursed' ,'curs' ,'ed' )(2 words)
('cursor' ,'curs' ,'or' )(2 words)
('curtis' ,'curt' ,'is' )(2 words)
('cutlet' ,'cut' ,'let' )(2 words)
('cutoff' ,'cut' ,'off' )(2 words)
('cutout' ,'cut' ,'out' )(2 words)
('damage' ,'dam' ,'age' )(2 words)
('damask' ,'dam' ,'ask' )(2 words)
('damned' ,'dam' ,'ned' )(2 words)
('damned' ,'damn' ,'ed' )(2 words)
('dampen' ,'dam' ,'pen' )(2 words)
('dampen' ,'damp' ,'en' )(2 words)
('damper' ,'dam' ,'per' )(2 words)
('darken' ,'dar' ,'ken' )(2 words)
('darken' ,'dark' ,'en' )(2 words)
('darned' ,'dar' ,'ned' )(2 words)
('darned' ,'darn' ,'ed' )(2 words)
('darrow' ,'dar' ,'row' )(2 words)
('darted' ,'dar' ,'ted' )(2 words)
('darted' ,'dart' ,'ed' )(2 words)
('darwin' ,'dar' ,'win' )(2 words)
('dashed' ,'dash' ,'ed' )(2 words)
('dawned' ,'dawn' ,'ed' )(2 words)
('dayton' ,'day' ,'ton' )(2 words)
('deaden' ,'de' ,'aden' )(2 words)
('deaden' ,'dead' ,'en' )(2 words)
('deafen' ,'deaf' ,'en' )(2 words)
('deanna' ,'de' ,'anna' )(2 words)
('debase' ,'de' ,'base' )(2 words)
('debtor' ,'debt' ,'or' )(2 words)
('debugs' ,'de' ,'bugs' )(2 words)
('debunk' ,'de' ,'bunk' )(2 words)
('decent' ,'de' ,'cent' )(2 words)
('decked' ,'deck' ,'ed' )(2 words)
('decnet' ,'dec' ,'net' )(2 words)
('decode' ,'de' ,'code' )(2 words)
('decode' ,'dec' ,'ode' )(2 words)
('decree' ,'de' ,'cree' )(2 words)
('deduct' ,'de' ,'duct' )(2 words)
('deeded' ,'deed' ,'ed' )(2 words)
('deemed' ,'deem' ,'ed' )(2 words)
('deepen' ,'dee' ,'pen' )(2 words)
('deepen' ,'deep' ,'en' )(2 words)
('deeper' ,'dee' ,'per' )(2 words)
('deeply' ,'dee' ,'ply' )(2 words)
('deface' ,'de' ,'face' )(2 words)
('defeat' ,'de' ,'feat' )(2 words)
('defend' ,'de' ,'fend' )(2 words)
('defile' ,'de' ,'file' )(2 words)
('define' ,'de' ,'fine' )(2 words)
('deform' ,'de' ,'form' )(2 words)
('defray' ,'de' ,'fray' )(2 words)
('delays' ,'de' ,'lays' )(2 words)
('delphi' ,'del' ,'phi' )(2 words)
('denote' ,'de' ,'note' )(2 words)
('dental' ,'dent' ,'al' )(2 words)
('dented' ,'den' ,'ted' )(2 words)
('dented' ,'dent' ,'ed' )(2 words)
('denton' ,'den' ,'ton' )(2 words)
('denton' ,'dent' ,'on' )(2 words)
('denude' ,'de' ,'nude' )(2 words)
('depart' ,'de' ,'part' )(2 words)
('depend' ,'de' ,'pend' )(2 words)
('depict' ,'de' ,'pict' )(2 words)
('deploy' ,'de' ,'ploy' )(2 words)
('deport' ,'de' ,'port' )(2 words)
('depose' ,'de' ,'pose' )(2 words)
('depots' ,'de' ,'pots' )(2 words)
('derail' ,'de' ,'rail' )(2 words)
('deride' ,'de' ,'ride' )(2 words)
('descry' ,'des' ,'cry' )(2 words)
('design' ,'de' ,'sign' )(2 words)
('desire' ,'de' ,'sire' )(2 words)
('desire' ,'des' ,'ire' )(2 words)
('despot' ,'de' ,'spot' )(2 words)
('despot' ,'des' ,'pot' )(2 words)
('detail' ,'de' ,'tail' )(2 words)
('detest' ,'de' ,'test' )(2 words)
('detour' ,'de' ,'tour' )(2 words)
('device' ,'de' ,'vice' )(2 words)
('devoid' ,'de' ,'void' )(2 words)
('devote' ,'de' ,'vote' )(2 words)
('dewitt' ,'de' ,'witt' )(2 words)
('dialed' ,'dial' ,'ed' )(2 words)
('dialup' ,'dial' ,'up' )(2 words)
('digits' ,'dig' ,'its' )(2 words)
('digram' ,'dig' ,'ram' )(2 words)
('dillon' ,'dill' ,'on' )(2 words)
('dipper' ,'dip' ,'per' )(2 words)
('disarm' ,'dis' ,'arm' )(2 words)
('dished' ,'dish' ,'ed' )(2 words)
('dismay' ,'dis' ,'may' )(2 words)
('disown' ,'dis' ,'own' )(2 words)
('disuse' ,'dis' ,'use' )(2 words)
('docked' ,'dock' ,'ed' )(2 words)
('docket' ,'dock' ,'et' )(2 words)
('domain' ,'do' ,'main' )(2 words)
('donate' ,'do' ,'nate' )(2 words)
('donate' ,'don' ,'ate' )(2 words)
('doneck' ,'do' ,'neck' )(2 words)
('donkey' ,'don' ,'key' )(2 words)
('doomed' ,'doom' ,'ed' )(2 words)
('doping' ,'do' ,'ping' )(2 words)
('dorado' ,'dora' ,'do' )(2 words)
('dosage' ,'do' ,'sage' )(2 words)
('dotted' ,'dot' ,'ted' )(2 words)
('downed' ,'dow' ,'ned' )(2 words)
('downed' ,'down' ,'ed' )(2 words)
('dragon' ,'drag' ,'on' )(2 words)
('dramas' ,'dram' ,'as' )(2 words)
('dryden' ,'dry' ,'den' )(2 words)
('dubbed' ,'dub' ,'bed' )(2 words)
('dublin' ,'dub' ,'lin' )(2 words)
('ducked' ,'duck' ,'ed' )(2 words)
('dulled' ,'dull' ,'ed' )(2 words)
('dumped' ,'dump' ,'ed' )(2 words)
('dusted' ,'dust' ,'ed' )(2 words)
('dustin' ,'dust' ,'in' )(2 words)
('earned' ,'ear' ,'ned' )(2 words)
('earned' ,'earn' ,'ed' )(2 words)
('echoed' ,'echo' ,'ed' )(2 words)
('eddies' ,'ed' ,'dies' )(2 words)
('edited' ,'edit' ,'ed' )(2 words)
('editor' ,'edit' ,'or' )(2 words)
('edward' ,'ed' ,'ward' )(2 words)
('elinor' ,'eli' ,'nor' )(2 words)
('elmira' ,'elm' ,'ira' )(2 words)
('elysee' ,'ely' ,'see' )(2 words)
('embalm' ,'em' ,'balm' )(2 words)
('embark' ,'em' ,'bark' )(2 words)
('embeds' ,'em' ,'beds' )(2 words)
('embody' ,'em' ,'body' )(2 words)
('emilio' ,'emil' ,'io' )(2 words)
('employ' ,'em' ,'ploy' )(2 words)
('enable' ,'en' ,'able' )(2 words)
('enacts' ,'en' ,'acts' )(2 words)
('encamp' ,'en' ,'camp' )(2 words)
('encode' ,'en' ,'code' )(2 words)
('encore' ,'en' ,'core' )(2 words)
('endear' ,'en' ,'dear' )(2 words)
('endear' ,'end' ,'ear' )(2 words)
('ending' ,'en' ,'ding' )(2 words)
('engage' ,'eng' ,'age' )(2 words)
('engels' ,'en' ,'gels' )(2 words)
('engulf' ,'en' ,'gulf' )(2 words)
('enjoin' ,'en' ,'join' )(2 words)
('enjoys' ,'en' ,'joys' )(2 words)
('enlist' ,'en' ,'list' )(2 words)
('enrage' ,'en' ,'rage' )(2 words)
('enrich' ,'en' ,'rich' )(2 words)
('enrico' ,'en' ,'rico' )(2 words)
('enroll' ,'en' ,'roll' )(2 words)
('ensign' ,'en' ,'sign' )(2 words)
('ensued' ,'en' ,'sued' )(2 words)
('ensues' ,'en' ,'sues' )(2 words)
('ensure' ,'en' ,'sure' )(2 words)
('entail' ,'en' ,'tail' )(2 words)
('entire' ,'en' ,'tire' )(2 words)
('entomb' ,'en' ,'tomb' )(2 words)
('entrap' ,'en' ,'trap' )(2 words)
('entree' ,'en' ,'tree' )(2 words)
('envied' ,'en' ,'vied' )(2 words)
('envies' ,'en' ,'vies' )(2 words)
('erased' ,'eras' ,'ed' )(2 words)
('errand' ,'err' ,'and' )(2 words)
('errant' ,'err' ,'ant' )(2 words)
('ethers' ,'et' ,'hers' )(2 words)
('evades' ,'eva' ,'des' )(2 words)
('evened' ,'eve' ,'ned' )(2 words)
('evened' ,'even' ,'ed' )(2 words)
('exacts' ,'ex' ,'acts' )(2 words)
('excite' ,'ex' ,'cite' )(2 words)
('exhale' ,'ex' ,'hale' )(2 words)
('exhume' ,'ex' ,'hume' )(2 words)
('exited' ,'exit' ,'ed' )(2 words)
('expend' ,'ex' ,'pend' )(2 words)
('export' ,'ex' ,'port' )(2 words)
('expose' ,'ex' ,'pose' )(2 words)
('extend' ,'ex' ,'tend' )(2 words)
('extent' ,'ex' ,'tent' )(2 words)
('eyelid' ,'eye' ,'lid' )(2 words)
('factor' ,'fact' ,'or' )(2 words)
('failed' ,'fail' ,'ed' )(2 words)
('fallen' ,'fall' ,'en' )(2 words)
('fanned' ,'fan' ,'ned' )(2 words)
('fanout' ,'fan' ,'out' )(2 words)
('farmed' ,'farm' ,'ed' )(2 words)
('fasted' ,'fast' ,'ed' )(2 words)
('fasten' ,'fast' ,'en' )(2 words)
('father' ,'fat' ,'her' )(2 words)
('fathom' ,'fat' ,'hom' )(2 words)
('fatten' ,'fat' ,'ten' )(2 words)
('fawned' ,'fawn' ,'ed' )(2 words)
('feared' ,'fear' ,'ed' )(2 words)
('fedora' ,'fe' ,'dora' )(2 words)
('felice' ,'fe' ,'lice' )(2 words)
('feline' ,'fe' ,'line' )(2 words)
('felled' ,'fell' ,'ed' )(2 words)
('female' ,'fe' ,'male' )(2 words)
('fenton' ,'fen' ,'ton' )(2 words)
('feudal' ,'feud' ,'al' )(2 words)
('fewest' ,'fe' ,'west' )(2 words)
('fijian' ,'fiji' ,'an' )(2 words)
('filled' ,'fill' ,'ed' )(2 words)
('filmed' ,'film' ,'ed' )(2 words)
('finely' ,'fin' ,'ely' )(2 words)
('firmed' ,'firm' ,'ed' )(2 words)
('fished' ,'fish' ,'ed' )(2 words)
('fisted' ,'fist' ,'ed' )(2 words)
('fitted' ,'fit' ,'ted' )(2 words)
('fixate' ,'fix' ,'ate' )(2 words)
('flaked' ,'flak' ,'ed' )(2 words)
('flamed' ,'flam' ,'ed' )(2 words)
('flatus' ,'flat' ,'us' )(2 words)
('flawed' ,'flaw' ,'ed' )(2 words)
('flaxen' ,'flax' ,'en' )(2 words)
('florid' ,'flo' ,'rid' )(2 words)
('flowed' ,'flow' ,'ed' )(2 words)
('fluted' ,'flu' ,'ted' )(2 words)
('foamed' ,'foam' ,'ed' )(2 words)
('foiled' ,'foil' ,'ed' )(2 words)
('folded' ,'fold' ,'ed' )(2 words)
('fooled' ,'fool' ,'ed' )(2 words)
('footed' ,'foot' ,'ed' )(2 words)
('forage' ,'for' ,'age' )(2 words)
('forbid' ,'for' ,'bid' )(2 words)
('forego' ,'for' ,'ego' )(2 words)
('forego' ,'fore' ,'go' )(2 words)
('forget' ,'for' ,'get' )(2 words)
('forgot' ,'for' ,'got' )(2 words)
('forked' ,'fork' ,'ed' )(2 words)
('formal' ,'form' ,'al' )(2 words)
('format' ,'for' ,'mat' )(2 words)
('format' ,'form' ,'at' )(2 words)
('formed' ,'form' ,'ed' )(2 words)
('fouled' ,'foul' ,'ed' )(2 words)
('frayed' ,'fray' ,'ed' )(2 words)
('frozen' ,'fro' ,'zen' )(2 words)
('fueled' ,'fuel' ,'ed' )(2 words)
('funded' ,'fund' ,'ed' )(2 words)
('fungus' ,'fun' ,'gus' )(2 words)
('furman' ,'fur' ,'man' )(2 words)
('furrow' ,'fur' ,'row' )(2 words)
('gabled' ,'gab' ,'led' )(2 words)
('gadfly' ,'gad' ,'fly' )(2 words)
('gadget' ,'gad' ,'get' )(2 words)
('gained' ,'gain' ,'ed' )(2 words)
('gaited' ,'gait' ,'ed' )(2 words)
('galled' ,'gall' ,'ed' )(2 words)
('gallon' ,'gall' ,'on' )(2 words)
('gallup' ,'gall' ,'up' )(2 words)
('garbed' ,'garb' ,'ed' )(2 words)
('gasped' ,'gasp' ,'ed' )(2 words)
('gasset' ,'gas' ,'set' )(2 words)
('gaston' ,'gas' ,'ton' )(2 words)
('gaynor' ,'gay' ,'nor' )(2 words)
('geared' ,'gear' ,'ed' )(2 words)
('gelled' ,'gel' ,'led' )(2 words)
('german' ,'germ' ,'an' )(2 words)
('gifted' ,'gift' ,'ed' )(2 words)
('gilded' ,'gild' ,'ed' )(2 words)
('glowed' ,'glow' ,'ed' )(2 words)
('gnawed' ,'gnaw' ,'ed' )(2 words)
('goaded' ,'goad' ,'ed' )(2 words)
('godson' ,'god' ,'son' )(2 words)
('godson' ,'gods' ,'on' )(2 words)
('godwin' ,'god' ,'win' )(2 words)
('golden' ,'gold' ,'en' )(2 words)
('goodby' ,'good' ,'by' )(2 words)
('goofed' ,'goof' ,'ed' )(2 words)
('gotham' ,'got' ,'ham' )(2 words)
('gotten' ,'got' ,'ten' )(2 words)
('govern' ,'go' ,'vern' )(2 words)
('gowned' ,'gown' ,'ed' )(2 words)
('graded' ,'grad' ,'ed' )(2 words)
('grayed' ,'gray' ,'ed' )(2 words)
('grimed' ,'grim' ,'ed' )(2 words)
('griped' ,'grip' ,'ed' )(2 words)
('grubby' ,'grub' ,'by' )(2 words)
('gullah' ,'gull' ,'ah' )(2 words)
('gulled' ,'gull' ,'ed' )(2 words)
('gulped' ,'gulp' ,'ed' )(2 words)
('gunman' ,'gun' ,'man' )(2 words)
